ID,UserID,Street,City,ZipCode
1,1,Fatih Mah. ,Trabzon,27491
2,2,Yıldız Mah.,Erzincan,41688
3,3,Mimar Sinan Mah. ,Balıkesir,10868
4,4,Karanfil Mah.,Sakarya,80498
5,5,Cumhuriyet Mah. ,Eskişehir,18187
6,6,Esentepe Mah. ,Van,53095
7,7,Esentepe Mah.,Çankırı,48950
8,8,Gül Mah. ,Ordu,72706
9,9,Karanfil Mah.,Zonguldak,31026
10,10,Merkez Mah.,Tunceli,32064
11,11,Barış Mah. ,Çanakkale,55269
12,12,Aydınlıkevler Mah. ,Kayseri,43571
13,13,Aydınlıkevler Mah. ,Kars,19748
14,14,Aydınlıkevler Mah.,Kütahya,12980
15,15,Gül Mah. ,Tunceli,79423
16,16,Gazi Mah.,Niğde,41845
17,17,Barış Mah.,Sinop,30483
18,18,Karşıyaka Mah. ,Ardahan,39942
19,19,Karanfil Mah. ,Kocaeli,71601
20,20,Bahçelievler Mah.,Ankara,32348
21,21,Gül Mah. ,Batman,74323
22,22,Mimar Sinan Mah. ,Çanakkale,51611
23,23,Bahçelievler Mah. ,Eskişehir,52429
24,24,Lale Mah.,Kütahya,31578
25,25,Çınar Mah. ,Kocaeli,81529
26,26,Bahçelievler Mah. ,Elazığ,30702
27,27,Merkez Mah. ,Afyonkarahisar,74251
28,28,Karanfil Mah.,Tokat,30378
29,29,Aydınlıkevler Mah. ,Kocaeli,28273
30,30,Yavuz Selim Mah. ,Batman,40630
31,31,Lale Mah.,Burdur,80862
32,32,Barış Mah. ,Batman,13866
33,33,Atatürk Mah. ,Adana,65503
34,34,Lale Mah. ,Antalya,58179
35,35,Menekşe Mah.,Trabzon,10688
36,36,Papatya Mah.,Sakarya,68807
37,37,Barış Mah.,Sivas,23206
38,38,Yeni Mah. ,Antalya,27337
39,39,Gül Mah.,Kahramanmaraş,35776
40,40,Çınar Mah.,Mardin,43398
41,41,Papatya Mah. ,Giresun,71569
42,42,Atatürk Mah. ,Iğdır,53172
43,43,Gül Mah. ,Muş,11009
44,44,Yeni Mah.,Erzurum,52885
45,45,Cumhuriyet Mah. ,Aydın,21614
46,46,Cumhuriyet Mah. ,Samsun,38199
47,47,Cumhuriyet Mah. ,Konya,16931
48,48,Barış Mah. ,Hatay,76656
49,49,Atatürk Mah. ,Bingöl,12707
50,50,Karanfil Mah.,Bartın,37039
51,51,Karanfil Mah. ,Malatya,75539
52,52,Yeni Mah.,Isparta,81917
53,53,Karşıyaka Mah.,Yalova,37524
54,54,Mimar Sinan Mah. ,Kocaeli,71833
55,55,Gül Mah. ,Muş,10919
56,56,Yavuz Selim Mah.,Ardahan,53357
57,57,Esentepe Mah.,Bilecik,60904
58,58,Atatürk Mah.,Diyarbakır,61971
59,59,Yıldız Mah.,İstanbul,37925
60,60,Gazi Mah. ,Antalya,77802
61,61,Yeni Mah. ,Hatay,73540
62,62,Barış Mah. ,Denizli,33116
63,63,Fatih Mah.,Adana,81413
64,64,Mimar Sinan Mah.,Hatay,40216
65,65,Aydınlıkevler Mah.,Siirt,70195
66,66,Karanfil Mah.,Tunceli,16998
67,67,Atatürk Mah. ,Tokat,27867
68,68,Menekşe Mah. ,Bilecik,33280
69,69,İnönü Mah. ,Tekirdağ,40996
70,70,Yeni Mah.,Kastamonu,77768
71,71,Karanfil Mah.,Rize,15970
72,72,Fatih Mah. ,İstanbul,44531
73,73,Zafer Mah.,Adıyaman,57507
74,74,Bahçelievler Mah. ,Bolu,45420
75,75,Mimar Sinan Mah.,Denizli,20632
76,76,Atatürk Mah.,Bartın,22209
77,77,Yıldız Mah. ,Batman,30427
78,78,Barış Mah. ,Kayseri,11856
79,79,Gazi Mah. ,Bilecik,68743
80,80,Hürriyet Mah. ,Iğdır,21216
81,81,Lale Mah. ,Ankara,53977
82,82,Karşıyaka Mah. ,Yozgat,10002
83,83,Papatya Mah. ,Sakarya,32849
84,84,Bahçelievler Mah. ,Amasya,34867
85,85,Bahçelievler Mah. ,Sakarya,60362
86,86,Karanfil Mah. ,Sinop,74837
87,87,Menekşe Mah. ,Bursa,58555
88,88,İnönü Mah.,Balıkesir,10258
89,89,Menekşe Mah. ,Düzce,13109
90,90,Aydınlıkevler Mah.,Kayseri,26393
91,91,Esentepe Mah. ,Adıyaman,69563
92,92,Karanfil Mah. ,Burdur,79548
93,93,Karanfil Mah. ,Iğdır,38558
94,94,Papatya Mah. ,Aksaray,19194
95,95,Merkez Mah. ,Giresun,74562
96,96,Barış Mah. ,Isparta,25364
97,97,Cumhuriyet Mah. ,Sakarya,71075
98,98,Aydınlıkevler Mah. ,Osmaniye,53997
99,99,Gazi Mah. ,Aksaray,76529
100,100,Cumhuriyet Mah.,Karabük,33492
101,101,Fatih Mah.,Malatya,35797
102,102,Karşıyaka Mah. ,Sakarya,52030
103,103,Gazi Mah.,Bingöl,47743
104,104,Cumhuriyet Mah. ,Bolu,10140
105,105,Çınar Mah. ,İzmir,47933
106,106,Papatya Mah. ,Uşak,81012
107,107,Mimar Sinan Mah.,Denizli,78939
108,108,Papatya Mah. ,Bingöl,80293
109,109,Yıldız Mah.,Sivas,21831
110,110,Hürriyet Mah. ,Sivas,35479
111,111,Karşıyaka Mah.,Antalya,72258
112,112,Karşıyaka Mah. ,Adıyaman,19750
113,113,Karşıyaka Mah.,Rize,78130
114,114,Yeşilyurt Mah. ,İstanbul,36535
115,115,Atatürk Mah. ,Eskişehir,36082
116,116,Menekşe Mah. ,Gümüşhane,42875
117,117,Karşıyaka Mah.,Bilecik,31953
118,118,Lale Mah.,Ardahan,34692
119,119,Yeni Mah. ,Konya,37222
120,120,Çınar Mah.,Isparta,19027
121,121,İnönü Mah. ,Mersin,78692
122,122,Gazi Mah. ,Bilecik,73599
123,123,Hürriyet Mah. ,Niğde,47053
124,124,İnönü Mah.,Tokat,24432
125,125,Fatih Mah.,Balıkesir,62427
126,126,Atatürk Mah. ,Aksaray,61674
127,127,Cumhuriyet Mah. ,Muş,20857
128,128,Papatya Mah.,Ardahan,28827
129,129,Yıldız Mah.,Burdur,12944
130,130,Yeni Mah.,Ordu,45705
131,131,Zafer Mah.,Edirne,72904
132,132,Gazi Mah.,Kayseri,45747
133,133,Karanfil Mah.,Trabzon,71880
134,134,Barış Mah. ,Aksaray,33318
135,135,Yavuz Selim Mah.,Bingöl,24922
136,136,Bahçelievler Mah.,Çanakkale,40364
137,137,Yeni Mah.,Niğde,58838
138,138,Barış Mah.,Sakarya,30056
139,139,Karanfil Mah. ,Afyonkarahisar,24451
140,140,Lale Mah.,Kilis,11064
141,141,Gül Mah.,Denizli,28740
142,142,Papatya Mah.,Şırnak,24576
143,143,Merkez Mah.,Denizli,12606
144,144,Esentepe Mah.,Kırşehir,74271
145,145,Yeşilyurt Mah.,Uşak,75460
146,146,Bahçelievler Mah.,Aydın,66995
147,147,Yavuz Selim Mah.,Mardin,51215
148,148,Merkez Mah.,Osmaniye,68296
149,149,Fatih Mah.,Bingöl,10037
150,150,İnönü Mah.,Kocaeli,35092
151,151,Cumhuriyet Mah.,Balıkesir,29855
152,152,Yavuz Selim Mah. ,Çankırı,35673
153,153,Zafer Mah.,Gümüşhane,44928
154,154,Yavuz Selim Mah.,Kocaeli,80596
155,155,Çınar Mah. ,Malatya,51270
156,156,Gazi Mah. ,Düzce,52135
157,157,Menekşe Mah.,Aydın,29535
158,158,Fatih Mah. ,Kilis,58337
159,159,Zafer Mah.,Balıkesir,74279
160,160,Yeni Mah. ,Elazığ,30033
161,161,Karşıyaka Mah. ,Eskişehir,49910
162,162,Merkez Mah. ,Aksaray,34418
163,163,Karanfil Mah.,Aydın,50380
164,164,Barış Mah. ,Karaman,48686
165,165,Zafer Mah.,Erzincan,51050
166,166,Cumhuriyet Mah. ,Tekirdağ,16836
167,167,Hürriyet Mah. ,Karaman,26776
168,168,Lale Mah. ,Erzincan,38215
169,169,Yeşilyurt Mah. ,Bursa,51461
170,170,Zafer Mah. ,Hakkari,32701
171,171,Karanfil Mah. ,Yalova,16645
172,172,Barış Mah. ,Bilecik,26882
173,173,Karanfil Mah.,Mardin,54016
174,174,Merkez Mah. ,İzmir,47869
175,175,Mimar Sinan Mah. ,Kahramanmaraş,41960
176,176,Cumhuriyet Mah. ,Aydın,51376
177,177,Zafer Mah. ,Mardin,55328
178,178,Yeni Mah.,Bayburt,21700
179,179,Zafer Mah.,Zonguldak,76029
180,180,Esentepe Mah.,Aksaray,40553
181,181,Cumhuriyet Mah.,Şırnak,69837
182,182,İnönü Mah. ,Bayburt,60708
183,183,Mimar Sinan Mah. ,Karabük,17977
184,184,Cumhuriyet Mah. ,Mersin,65869
